[DEBUG] 2021-03-23 22:17:14.023 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-23 22:17:14.035 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-23 22:17:14.040 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-23 22:17:14.224 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-23 22:17:14.228 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-23 22:17:14.646 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-23 22:17:14.647 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-23 22:17:14.656 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-23 22:17:15.222 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-23 22:17:15.274 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-23 22:17:15.277 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-23 22:17:15.338 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-23 22:17:15.426 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1894e40d
[DEBUG] 2021-03-23 22:17:15.427 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1894e40d
[DEBUG] 2021-03-23 22:17:15.427 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1894e40d
[DEBUG] 2021-03-23 22:17:15.431 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@15383681
[DEBUG] 2021-03-23 22:17:15.432 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@761956ac
[DEBUG] 2021-03-23 22:17:15.434 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2133661d
[DEBUG] 2021-03-23 22:17:15.436 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1e43e323
[DEBUG] 2021-03-23 22:17:15.439 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1e43e323
[DEBUG] 2021-03-23 22:17:15.439 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1e43e323
[DEBUG] 2021-03-23 22:17:15.441 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@49c675f0
[DEBUG] 2021-03-23 22:17:15.441 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@49c675f0
[DEBUG] 2021-03-23 22:17:15.442 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@49c675f0
[DEBUG] 2021-03-23 22:17:15.445 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7979b8b7
[DEBUG] 2021-03-23 22:17:15.446 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7979b8b7
[DEBUG] 2021-03-23 22:17:15.446 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7979b8b7
[DEBUG] 2021-03-23 22:17:15.448 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@24e83d19
[DEBUG] 2021-03-23 22:17:15.449 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@24e83d19
[DEBUG] 2021-03-23 22:17:15.449 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@24e83d19
[DEBUG] 2021-03-23 22:17:15.450 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@35267fd4
[DEBUG] 2021-03-23 22:17:15.451 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@35267fd4
[DEBUG] 2021-03-23 22:17:15.451 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@35267fd4
[DEBUG] 2021-03-23 22:17:15.453 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7661b5a
[DEBUG] 2021-03-23 22:17:15.453 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7661b5a
[DEBUG] 2021-03-23 22:17:15.453 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7661b5a
[DEBUG] 2021-03-23 22:17:15.456 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1f0b3cfe
[DEBUG] 2021-03-23 22:17:15.456 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1f0b3cfe
[DEBUG] 2021-03-23 22:17:15.457 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1f0b3cfe
[DEBUG] 2021-03-23 22:17:15.459 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2b2f5fcf
[DEBUG] 2021-03-23 22:17:15.460 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2b2f5fcf
[DEBUG] 2021-03-23 22:17:15.461 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7718a40f
[DEBUG] 2021-03-23 22:17:15.461 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7718a40f
[DEBUG] 2021-03-23 22:17:15.464 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6c008c24
[DEBUG] 2021-03-23 22:17:15.464 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6c008c24
[DEBUG] 2021-03-23 22:17:15.465 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@67c5ac52
[DEBUG] 2021-03-23 22:17:15.466 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@dc79225
[DEBUG] 2021-03-23 22:17:15.468 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@fd9ebde
[DEBUG] 2021-03-23 22:17:15.468 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@fd9ebde
[DEBUG] 2021-03-23 22:17:15.474 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@33899f7a
[DEBUG] 2021-03-23 22:17:15.475 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@33899f7a
[DEBUG] 2021-03-23 22:17:15.534 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@7a729f84
[DEBUG] 2021-03-23 22:17:15.534 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7a729f84
[DEBUG] 2021-03-23 22:17:15.543 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6a472566
[DEBUG] 2021-03-23 22:17:15.544 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6a472566
[DEBUG] 2021-03-23 22:17:15.551 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5633ed82
[DEBUG] 2021-03-23 22:17:15.553 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5633ed82
[DEBUG] 2021-03-23 22:17:15.562 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@277bf091
[DEBUG] 2021-03-23 22:17:15.562 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@277bf091
[DEBUG] 2021-03-23 22:17:15.566 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@60325987
[DEBUG] 2021-03-23 22:17:15.567 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@60325987
[DEBUG] 2021-03-23 22:17:15.570 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4047d2d9
[DEBUG] 2021-03-23 22:17:15.571 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4047d2d9
[DEBUG] 2021-03-23 22:17:15.575 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@76563d26
[DEBUG] 2021-03-23 22:17:15.576 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@76563d26
[DEBUG] 2021-03-23 22:17:15.578 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@5d43409a
[DEBUG] 2021-03-23 22:17:15.579 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@5d43409a
[DEBUG] 2021-03-23 22:17:15.581 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@4fc3c165
[DEBUG] 2021-03-23 22:17:15.581 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@4fc3c165
[DEBUG] 2021-03-23 22:17:15.583 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@6920614
[DEBUG] 2021-03-23 22:17:15.583 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6920614
[DEBUG] 2021-03-23 22:17:15.584 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6920614
[DEBUG] 2021-03-23 22:17:15.586 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@433348bc
[DEBUG] 2021-03-23 22:17:15.590 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@6403e24c
[DEBUG] 2021-03-23 22:17:15.590 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6403e24c
[DEBUG] 2021-03-23 22:17:15.591 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6403e24c
[DEBUG] 2021-03-23 22:17:15.592 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3968bc60
[DEBUG] 2021-03-23 22:17:15.593 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@21bd20ee
[DEBUG] 2021-03-23 22:17:15.594 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@21bd20ee
[DEBUG] 2021-03-23 22:17:15.596 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@476fe690
[DEBUG] 2021-03-23 22:17:15.596 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@476fe690
[DEBUG] 2021-03-23 22:17:15.598 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@a66e580
[DEBUG] 2021-03-23 22:17:15.598 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@a66e580
[DEBUG] 2021-03-23 22:17:15.600 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@71a06021
[DEBUG] 2021-03-23 22:17:15.600 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@71a06021
[DEBUG] 2021-03-23 22:17:15.601 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2eae4349
[DEBUG] 2021-03-23 22:17:15.606 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2eae4349
[DEBUG] 2021-03-23 22:17:15.607 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3804a9a8
[DEBUG] 2021-03-23 22:17:15.609 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@55e42449
